"filename", "language", "JavaScript", "Markdown", "JSON", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\.eslintrc.js", "JavaScript", 31, 0, 0, 0, 0, 0, 1, 32
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\.prettierrc", "JSON", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\README.md", "Markdown", 0, 51, 0, 0, 0, 2, 21, 74
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\nest-cli.json", "JSON", 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\package-lock.json", "JSON", 0, 0, 16933, 0, 0, 0, 1, 16934
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\package.json", "JSON", 0, 0, 85, 0, 0, 6, 0, 91
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\app.module.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\auth.controller.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 6, 43
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\auth.module.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 23
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\auth.service.ts", "TypeScript", 0, 0, 0, 0, 100, 11, 15, 126
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\decorator\get-current-user.decorator.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\dto\login.dto.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 2, 13
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\dto\register.dto.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 3, 18
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\entity\user-auth.entity.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 7, 35
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\guards\jwt-auth.guard.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\guards\local-auth.guard.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\guards\refresh-token.guard.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\interface\user-jwt-payload.interface.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\strategy\jwt-refresh.strategy.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 3, 26
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\strategy\jwt.strategy.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\auth\strategy\local.strategy.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 2, 19
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\main.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 8, 34
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\user\dto\user.dto.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\user\entity\user.entity.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 6, 24
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\user\user.controller.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\user\user.module.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\src\user\user.service.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 9, 66
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\test\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 5, 25
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\test\jest-e2e.json", "JSON", 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\tsconfig.build.json", "JSON", 0, 0, 3, 0, 0, 2, 0, 5
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\tsconfig.json", "JSON with Comments", 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\Nemanja\Desktop\learning_lab\nest_auth_jwt\typeorm.config.ts", "TypeScript", 0, 0, 0, 0, 20, 1, 2, 23
"Total", "-", 31, 51, 17040, 21, 493, 22, 113, 17771